Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Asylum claims granted (People),,,,,,,,,,,8472,5035,6307,9543,13828,20703,23532,22939,20507,26571,32514,39148,36937,28743,27376,25304,26352,25318,23022,22303,19777,23631,27446,24657,23061,25947,20313,26380,37740,45888,30964,17692
    Type of asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Affirmative (People),,,,,,,,,,,5672,2908,4123,7509,11775,17573,18624,16380,13216,18150,23278,29147,25960,15367,14354,13547,13048,12459,12130,12003,11258,13493,16871,14890,14425,17807,11620,15815,24543,26979,16363,10325
        Defensive (People),,,,,,,,,,,2800,2127,2184,2034,2053,3130,4908,6559,7291,8421,9236,10001,10977,13376,13022,11757,13304,12859,10892,10300,8519,10138,10575,9767,8636,8140,8693,10565,13197,18909,14601,7367
    Region of orgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Africa (People),,,,,,,,,,,,,,,,,,,,,,,,,6271,4971,4942,5089,4732,5203,4601,5448,6981,6655,5866,5177,3452,4456,6117,7537,4912,3013
        Asia (People),,,,,,,,,,,,,,,,,,,,,,,,,9113,9156,10008,11153,10355,10986,10285,12325,14538,13480,12822,11340,8583,9963,13543,16936,11078,5987
        Europe (People),,,,,,,,,,,,,,,,,,,,,,,,,2560,2297,1994,1990,1932,1740,1466,1805,2000,1619,1193,1257,826,1058,2159,2680,1630,1022
        North America (People),,,,,,,,,,,,,,,,,,,,,,,,,3143,3925,4607,3314,2836,2340,1922,2069,2182,1773,2293,7031,6646,9808,9162,10964,8397,5071
        Oceania (People),,,,,,,,,,,,,,,,,,,,,,,,,160,59,63,52,59,50,24,41,32,15,21,4,7,5,4,9,8,
        South America (People),,,,,,,,,,,,,,,,,,,,,,,,,6012,4756,4610,3572,2949,1776,1322,1738,1579,1030,790,1050,619,894,6550,7459,4735,2489
        Unknown (People),,,,,,,,,,,,,,,,,,,,,,,,,117,110,128,137,158,219,157,205,134,85,40,53,180,38,66,303,204,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agency,Source,Table,Url,Direct Link,Updated,Update Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Department of Homeland Security,Yearbook of Immigration Statistics ,,https://www.dhs.gov/immigration-statistics/yearbook,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 04/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
