GeoFips,State,1990,2000,2010,2021
1000,Alabama,15861,24306,33946,49769
2000,Alaska,23213,32044,49652,65813
4000,Arizona,17323,26388,33876,55487
5000,Arkansas,14622,22781,32372,50625
6000,California,21485,33410,43246,76614
8000,Colorado,19853,34029,40790,70706
9000,Connecticut,26394,43070,61743,83294
10000,Delaware,21457,33884,40942,59931
11000,District of Columbia,26132,43524,63368,96477
12000,Florida,19763,29466,38872,62270
13000,Georgia,17835,28851,34829,55786
15000,Hawaii,22433,29319,41574,60947
16000,Idaho,16152,25183,32097,52369
17000,Illinois,21025,33212,42278,67244
18000,Indiana,17768,28153,35695,56497
19000,Iowa,17628,27390,38312,57163
20000,Kansas,18438,28253,39960,58924
21000,Kentucky,15613,24868,33409,51266
22000,Louisiana,15369,23997,38242,54217
23000,Maine,17756,27491,38106,58484
24000,Maryland,23104,35591,49668,69817
25000,Massachusetts,23118,38594,52894,83653
26000,Michigan,19051,30344,35760,56494
27000,Minnesota,19935,32448,42724,66280
28000,Mississippi,13356,21681,31287,45881
29000,Missouri,17920,27941,37118,55325
30000,Montana,15469,23081,36393,56949
31000,Nebraska,18487,29039,41248,61205
32000,Nevada,20516,31986,37494,60213
33000,New Hampshire,20682,35335,47098,73200
34000,New Jersey,24754,39216,51076,77016
35000,New Mexico,15314,23102,33710,50311
36000,New York,23990,36090,48768,76837
37000,North Carolina,17485,27510,35872,56173
38000,North Dakota,16084,25892,44264,64524
39000,Ohio,18683,28598,36854,56879
40000,Oklahoma,16235,24178,37276,53870
41000,Oregon,18159,28386,36036,61596
42000,Pennsylvania,19566,30443,42251,64279
44000,Rhode Island,20316,30417,42766,64376
45000,South Carolina,16109,25133,32852,52467
46000,South Dakota,16475,26825,41423,64462
47000,Tennessee,16709,27066,35851,56560
48000,Texas,17455,28383,39034,59865
49000,Utah,15010,24260,32218,56019
50000,Vermont,18233,29014,41733,61882
51000,Virginia,20840,32715,45513,66305
53000,Washington,20222,32723,42348,73775
54000,West Virginia,14608,22317,32762,48488
55000,Wisconsin,18438,29556,39175,59626
56000,Wyoming,18147,29607,46649,69666
